movie_title,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross
Enemy of the State,1998-11,Action,R,111549836.0,198472008.0
Rushmore,1998-12,Black Comedy,R,17105219.0,28392518.0
A Civil Action,1998-12,Drama,PG-13,56709981.0,94139530.0
Mighty Joe Young,1998-12,Adventure,PG,50632037.0,87906042.0
My Favorite Martian,1999-02,Comedy,PG,36850101.0,61150849.0
The Other Sister,1999-02,Romantic Comedy,PG-13,27807627.0,46145331.0
Doug's 1st Movie,1999-03,Adventure,G,19421271.0,32228598.0
Ten Things I Hate About You,1999-03,Romantic Comedy,PG-13,38177966.0,63354375.0
Endurance,1999-05,,PG,229128.0,380218.0
Instinct,1999-06,Drama,R,34105207.0,56595842.0
Tarzan,1999-06,Adventure,G,171091819.0,283900254.0
Summer of Sam,1999-07,Drama,R,19288130.0,32007656.0
Inspector Gadget,1999-07,Comedy,PG,97387965.0,161610341.0
The Sixth Sense,1999-08,Thriller/Suspense,PG-13,293506292.0,485424724.0
The 13th Warrior,1999-08,Action,R,32698899.0,54262148.0
Breakfast of Champions,1999-09,Comedy,R,178287.0,295851.0
Mumford,1999-09,Comedy,R,4559569.0,7566363.0
"Mystery, Alaska",1999-10,Comedy,R,8891623.0,14755189.0
The Straight Story,1999-10,Drama,G,6197866.0,10111144.0
The Insider,1999-11,Drama,R,28965197.0,47794214.0
Toy Story 2,1999-11,Adventure,G,245852179.0,404450426.0
Cradle Will Rock,1999-12,Drama,R,2899970.0,4609153.0
Deuce Bigalow: Male Gigolo,1999-12,Comedy,R,65535067.0,106921374.0
Bicentennial Man,1999-12,Drama,PG,58220776.0,94838225.0
Play it to the Bone,1999-12,Comedy,R,8427204.0,13180524.0
Fantasia 2000 (IMAX),2000-01,Musical,G,60507228.0,94852354.0
Gun Shy,2000-02,Comedy,R,1638202.0,2562155.0
The Tigger Movie,2000-02,Adventure,G,45542421.0,71228678.0
Mission to Mars,2000-03,Adventure,PG,60874615.0,95208344.0
High Fidelity,2000-03,Comedy,R,27277055.0,42661516.0
Keeping the Faith,2000-04,Romantic Comedy,PG-13,37036404.0,57925202.0
Dinosaur,2000-05,Adventure,PG,137748063.0,215438985.0
Shanghai Noon,2000-05,Western,PG-13,56932305.0,89042541.0
Gone in 60 Seconds,2000-06,Action,PG-13,101643008.0,158970411.0
Fantasia 2000 (Theatrical Release),2000-06,Musical,G,9103630.0,14238144.0
The Kid,2000-07,Comedy,PG,69688384.0,108993148.0
Coyote Ugly,2000-08,Drama,PG-13,60786269.0,95070168.0
The Crew,2000-08,Comedy,PG-13,13019253.0,20362201.0
Duets,2000-09,Drama,R,4734235.0,7404372.0
Remember the Titans,2000-09,Drama,PG,115654751.0,180742479.0
Unbreakable,2000-11,Thriller/Suspense,PG-13,94999143.0,148208901.0
102 Dalmatians,2000-11,Comedy,G,66941559.0,104055039.0
The Emperor's New Groove,2000-12,Adventure,G,89296573.0,136789252.0
"O Brother, Where Art Thou?",2000-12,Comedy,PG-13,45506619.0,67922002.0
Double Take,2001-01,Action,PG-13,29823162.0,44418589.0
Recess: School's Out,2001-02,Comedy,G,36696761.0,54656124.0
Just Visiting,2001-04,Comedy,PG-13,4777007.0,7114869.0
Pearl Harbor,2001-05,Action,PG-13,198539855.0,295705112.0
Atlantis: The Lost Empire,2001-06,Adventure,PG,84052762.0,125188122.0
crazy/beautiful,2001-06,Drama,PG-13,16929123.0,25214223.0
The Princess Diaries,2001-08,Comedy,G,108244774.0,161218928.0
Bubble Boy,2001-08,Comedy,PG-13,5002310.0,7450434.0
Max Keeble's Big Move,2001-10,Comedy,PG,17292381.0,25749730.0
Corky Romano,2001-10,Comedy,PG-13,23978402.0,35705805.0
High Heels and Low Lifes,2001-10,,R,226792.0,337782.0
"Monsters, Inc.",2001-11,Adventure,G,289423425.0,416073179.0
Out Cold,2001-11,Comedy,PG-13,13906394.0,20700691.0
The Royal Tenenbaums,2001-12,Black Comedy,R,52353636.0,76758193.0
Beauty and the Beast (IMAX),2002-01,Musical,G,25487028.0,36980311.0
Frank McKlusky C.I.,2002-01,,,0.0,0.0
Snow Dogs,2002-01,Comedy,PG,81150692.0,117745317.0
The Count of Monte Cristo,2002-01,Drama,PG-13,54228104.0,78682079.0
Peter Pan: Return to Neverland,2002-02,Adventure,G,48430258.0,70269715.0
Reign of Fire,2002-02,Action,PG-13,43061982.0,62480631.0
Sorority Boys,2002-03,Comedy,R,10198766.0,14797862.0
The Rookie,2002-03,Drama,G,75600072.0,109691666.0
Big Trouble,2002-04,Comedy,PG-13,7262288.0,10537188.0
ESPN's Ultimate X - The Movie,2002-05,Documentary,PG,4197175.0,6089874.0
Bad Company (b),2002-06,Action,PG-13,30157016.0,43756218.0
Lilo & Stitch,2002-06,Adventure,PG,145771527.0,211506702.0
The Country Bears,2002-07,Adventure,G,16988996.0,24650121.0
Signs,2002-08,Thriller/Suspense,PG-13,227965690.0,330754439.0
Sen to Chihiro no Kamikakushi,2002-09,Adventure,PG,10049886.0,14338992.0
Sweet Home Alabama,2002-09,Comedy,PG-13,127214072.0,184521151.0
Moonlight Mile,2002-09,Drama,PG-13,6830957.0,9909094.0
Tuck Everlasting,2002-10,Drama,PG,19161999.0,27789959.0
The Santa Clause 2,2002-11,Comedy,G,139225854.0,201959095.0
Treasure Planet,2002-11,Adventure,PG,38120554.0,55189145.0
The Hot Chick,2002-12,Comedy,PG-13,35081550.0,50624654.0
25th Hour,2002-12,Drama,R,13084595.0,18325463.0
The Recruit,2003-01,Thriller/Suspense,PG-13,52784696.0,73793522.0
Shanghai Knights,2003-02,Adventure,PG-13,60470220.0,84537962.0
The Jungle Book 2,2003-02,Adventure,G,47901582.0,66966883.0
Bringing Down the House,2003-03,Comedy,PG-13,132675402.0,185481530.0
Piglet's Big Movie,2003-03,Comedy,G,23103423.0,32298812.0
Ghosts of the Abyss,2003-04,Documentary,G,17093668.0,23803108.0
Holes,2003-04,Drama,PG,67383924.0,94203395.0
The Lizzie McGuire Movie,2003-05,Comedy,PG,42734455.0,59743191.0
Finding Nemo,2003-05,Adventure,G,380529370.0,518148559.0
Pirates of the Caribbean: The Curse o…,2003-07,Adventure,PG-13,305411224.0,426967926.0
Freaky Friday (b),2003-08,Comedy,PG,110222438.0,154090360.0
Open Range,2003-08,Western,R,58331254.0,81547672.0
Cold Creek Manor,2003-09,Thriller/Suspense,R,21384035.0,29895090.0
Under the Tuscan Sun,2003-09,Comedy,PG-13,43601508.0,60944053.0
Veronica Guerin,2003-10,Drama,R,1569918.0,2194759.0
Brother Bear,2003-11,Adventure,G,85336277.0,119218333.0
The Haunted Mansion,2003-11,Comedy,PG,75817994.0,105775678.0
Calendar Girls,2003-12,Comedy,PG-13,31011616.0,42379650.0
Young Black Stallion,2003-12,Adventure,G,6751389.0,9254344.0
Teacher's Pet: The Movie,2004-01,Comedy,PG,6491969.0,8812764.0
Miracle,2004-02,Drama,PG,64378093.0,87392478.0
Confessions of a Teenage Drama Queen,2004-02,Comedy,PG,29331068.0,39816568.0
Hidalgo,2004-03,Western,PG-13,67286731.0,91340921.0
The Ladykillers,2004-03,Comedy,R,39692139.0,53881593.0
Home on the Range,2004-04,Comedy,PG,50026353.0,67910166.0
The Alamo,2004-04,Western,PG-13,22406362.0,30416359.0
Raising Helen,2004-05,Comedy,PG-13,37485528.0,50886144.0
Around the World in 80 Days,2004-06,Adventure,PG,24004159.0,32585356.0
America's Heart and Soul,2004-07,Documentary,Not Rated,314000.0,426246.0
King Arthur,2004-07,Adventure,PG-13,51877963.0,70423706.0
The Village,2004-07,Thriller/Suspense,PG-13,114197520.0,155021748.0
The Princess Diaries 2: Royal Engagement,2004-08,Romantic Comedy,G,95149435.0,129164207.0
Mr. 3000,2004-09,Comedy,PG-13,21800302.0,29593641.0
The Last Shot,2004-09,Comedy,R,463730.0,629502.0
Ladder 49,2004-10,Action,PG-13,74541707.0,101161045.0
The Incredibles,2004-11,Adventure,PG,261441092.0,354488708.0
National Treasure,2004-11,Adventure,PG,173005002.0,234069353.0
The Life Aquatic with Steve Zissou,2004-12,Comedy,R,24006726.0,32198655.0
Aliens of the Deep,2005-01,Documentary,G,8968684.0,11740942.0
Pooh's Heffalump Movie,2005-02,Adventure,G,18098433.0,23801835.0
The Pacifier,2005-03,Comedy,PG,113006880.0,148619029.0
Ice Princess,2005-03,Comedy,G,24381334.0,32064685.0
A Lot Like Love,2005-04,Comedy,PG-13,21835784.0,28716947.0
The Hitchhiker's Guide to the Galaxy,2005-04,Comedy,PG,51019112.0,67096891.0
Hauru no ugoku shiro,2005-06,Adventure,PG,4710455.0,6194870.0
Herbie: Fully Loaded,2005-06,Comedy,G,66010682.0,86812798.0
Dark Water,2005-07,Thriller/Suspense,PG-13,25473093.0,33500491.0
Sky High,2005-07,Adventure,PG,63939454.0,84088854.0
Valiant,2005-08,Adventure,G,19478106.0,25616292.0
Flightplan,2005-09,Thriller/Suspense,PG-13,89706988.0,117960425.0
The Greatest Game Ever Played,2005-09,Drama,PG,15331289.0,20162672.0
Shopgirl,2005-10,Drama,R,10284523.0,13519621.0
Chicken Little,2005-11,Adventure,G,135386665.0,177954661.0
"The Chronicles of Narnia: The Lion, t…",2005-12,Adventure,PG,291710957.0,381557539.0
Casanova,2005-12,Drama,R,11304403.0,14574087.0
Glory Road,2006-01,Drama,PG,42647449.0,54888236.0
Annapolis,2006-01,Drama,PG-13,17127992.0,22044113.0
Roving Mars,2006-01,Documentary,G,10407978.0,12948025.0
Eight Below,2006-02,Adventure,PG,81612565.0,105037235.0
The Shaggy Dog,2006-03,Comedy,PG,61123569.0,78667428.0
Stay Alive,2006-03,Horror,PG-13,23086480.0,29712825.0
The Wild,2006-04,Adventure,G,37384046.0,48114115.0
Stick It,2006-04,Comedy,PG-13,26910736.0,34634731.0
Goal! The Dream Begins,2006-05,Drama,PG,4283255.0,5512647.0
Cars,2006-06,Comedy,G,244082982.0,314140384.0
Pirates of the Caribbean: Dead Man’…,2006-07,Adventure,PG-13,423315812.0,544817142.0
Step Up,2006-08,Drama,PG-13,65328121.0,84078780.0
Invincible,2006-08,Drama,PG,57806952.0,74398864.0
The Guardian,2006-09,Action,PG-13,55011732.0,70801353.0
The Prestige,2006-10,Thriller/Suspense,PG-13,53089891.0,68289913.0
Tim Burton's The Nightmare Before Chr…,2006-10,Musical,PG,24732041.0,30737517.0
The Santa Clause 3: The Escape Clause,2006-11,Comedy,G,84500122.0,108694869.0
Déjà Vu,2006-11,Thriller/Suspense,PG-13,64038616.0,82267038.0
Apocalypto,2006-12,Adventure,R,50866635.0,64959548.0
Primeval,2007-01,Adventure,R,10597734.0,12985302.0
Bridge to Terabithia,2007-02,Drama,PG,82234139.0,100760721.0
Wild Hogs,2007-03,Comedy,PG-13,168213584.0,206110533.0
Meet the Robinsons,2007-03,Adventure,G,97822171.0,119860589.0
The Lookout,2007-03,Drama,R,4600585.0,5637048.0
The Hoax,2007-04,Drama,R,7164995.0,8779196.0
The Invisible,2007-04,Thriller/Suspense,PG-13,20568319.0,25202168.0
Pirates of the Caribbean: At World’…,2007-05,Adventure,PG-13,309420425.0,379129960.0
Ratatouille,2007-06,Comedy,G,206445654.0,252955933.0
Underdog,2007-08,Adventure,PG,43760605.0,53619462.0
The Game Plan,2007-09,Comedy,PG,90648202.0,111010758.0
Dan in Real Life,2007-10,Romantic Comedy,PG-13,47642963.0,58350234.0
Enchanted,2007-11,Romantic Comedy,PG,127706877.0,156074310.0
National Treasure 2: Book of Secrets,2007-12,Adventure,PG,219961501.0,267003525.0
Hannah Montana/Miley Cyrus: Best of B…,2008-02,Concert/Performance,G,65281781.0,76646993.0
Step Up 2 the Streets,2008-02,Drama,PG-13,58017783.0,68118371.0
College Road Trip,2008-03,Comedy,G,45610425.0,53550960.0
The Chronicles of Narnia: Prince Caspian,2008-05,Adventure,PG,141621490.0,166277038.0
WALL-E,2008-06,Adventure,G,223808164.0,262771918.0
Swing Vote,2008-08,Comedy,PG-13,16289867.0,19125841.0
Goal! 2: Living the Dream...,2008-08,Drama,PG-13,225067.0,264247.0
Miracle at St. Anna,2008-09,Drama,R,7916887.0,9295171.0
Beverly Hills Chihuahua,2008-10,Comedy,PG,94514402.0,110932022.0
Morning Light,2008-10,Documentary,PG,275093.0,322979.0
High School Musical 3: Senior Year,2008-10,Musical,G,90559416.0,106308538.0
Bolt,2008-11,Comedy,PG,114053759.0,133702498.0
Bedtime Stories,2008-12,Comedy,PG,110101975.0,128039679.0
Confessions of a Shopaholic,2009-02,Romantic Comedy,PG,44277350.0,49767744.0
Jonas Brothers: The 3D Concert Experi…,2009-02,Concert/Performance,G,38174685.0,38174685.0
Race to Witch Mountain,2009-03,Adventure,PG,67172594.0,75501997.0
Hannah Montana the Movie,2009-04,Drama,G,79576189.0,89443640.0
Earth,2009-04,Documentary,G,32011576.0,35981010.0
Up,2009-05,Adventure,PG,293004164.0,329336681.0
The Proposal,2009-06,Romantic Comedy,PG-13,163958031.0,184288829.0
G-Force,2009-07,Adventure,PG,119436770.0,134246932.0
Gake no ue no Ponyo,2009-08,Adventure,G,15090399.0,16961607.0
X Games 3D: The Movie,2009-08,Documentary,PG,1391434.0,1563976.0
Walt and El Grupo,2009-09,Documentary,PG,20521.0,23064.0
Surrogates,2009-09,Action,PG-13,38577772.0,43361416.0
Toy Story 3D Double Feature,2009-10,Adventure,G,30702446.0,34509545.0
Disney's A Christmas Carol,2009-11,Drama,PG,137855863.0,154927105.0
The Princess and the Frog,2009-12,Adventure,G,104400899.0,116316457.0
Old Dogs,2009-11,Comedy,PG,49492060.0,55503929.0
When in Rome,2010-01,Romantic Comedy,PG-13,32680633.0,34917330.0
Alice in Wonderland (b),2010-03,Adventure,PG,334191110.0,357063499.0
Waking Sleeping Beauty,2010-03,Documentary,PG,80741.0,86264.0
The Last Song,2010-03,Drama,PG,62950384.0,67258772.0
Oceans,2010-04,Documentary,G,19422319.0,20751600.0
Prince of Persia: Sands of Time,2010-05,Action,PG-13,90759676.0,96971361.0
Toy Story 3,2010-06,Adventure,G,415004880.0,443408255.0
The Sorcerer's Apprentice,2010-07,Adventure,PG,63150991.0,67473105.0
Step Up 3D,2010-08,Drama,PG-13,42400223.0,45302137.0
Gedo Senki (Tales from Earthsea),2010-08,Adventure,PG-13,48658.0,51988.0
You Again,2010-09,Comedy,PG,25702053.0,27461121.0
Secretariat,2010-10,Drama,PG,59699513.0,63781920.0
Tangled,2010-11,Adventure,PG,200821936.0,214388548.0
Tron: Legacy,2010-12,Adventure,PG,172062763.0,183619259.0
Gnomeo and Juliet,2011-02,Comedy,G,99967670.0,106270797.0
I am Number Four,2011-02,Adventure,PG-13,55100437.0,58574607.0
Mars Needs Moms,2011-03,Adventure,PG,21392758.0,22741603.0
African Cats,2011-04,Documentary,G,15428747.0,16401551.0
Zokkomon,2011-04,Adventure,PG,2815.0,2984.0
Prom,2011-04,Comedy,PG,10130219.0,10768946.0
Pirates of the Caribbean: On Stranger…,2011-05,Adventure,PG-13,241063875.0,256263359.0
Cars 2,2011-06,Adventure,G,191450875.0,203522177.0
Winnie the Pooh,2011-07,Adventure,G,26692846.0,28375869.0
The Help,2011-08,Drama,PG-13,169705587.0,180404976.0
Fright Night,2011-08,Horror,R,18298649.0,19452402.0
Real Steel,2011-10,Action,PG-13,85463309.0,90848019.0
The Muppets,2011-11,Comedy,PG,88625922.0,94189503.0
War Horse,2011-12,Drama,PG-13,79883359.0,84762149.0
The Secret World of Arietty,2012-02,Adventure,G,19192510.0,20325733.0
John Carter,2012-03,Adventure,PG-13,73058679.0,77372445.0
Chimpanzee,2012-04,Documentary,G,28965459.0,30675725.0
The Avengers,2012-05,Action,PG-13,623279547.0,660081224.0
Brave,2012-06,Adventure,PG,237282182.0,251292441.0
People Like Us,2012-06,Drama,PG-13,12431792.0,13165822.0
The Odd Life of Timothy Green,2012-08,Drama,PG,51853450.0,54914942.0
Frankenweenie,2012-10,Comedy,PG,35287788.0,37363513.0
Wreck-It Ralph,2012-11,Adventure,PG,189412677.0,200354959.0
Lincoln,2012-11,Drama,PG-13,182207973.0,192122330.0
Oz the Great and Powerful,2013-03,Adventure,PG,234770996.0,243434130.0
Iron Man 3,2013-05,Action,PG-13,408992272.0,424084233.0
Monsters University,2013-06,Adventure,G,268488329.0,278395641.0
The Lone Ranger,2013-07,Western,PG-13,89302115.0,92597388.0
Disney Planes,2013-08,Comedy,PG,90282580.0,93614037.0
The Fifth Estate,2013-10,Drama,R,3254172.0,3374251.0
Thor: The Dark World,2013-11,Adventure,PG-13,206362140.0,213962184.0
Kaze Tachinu,2013-11,Drama,PG-13,5201879.0,5367415.0
Frozen,2013-11,Adventure,PG,400738009.0,414997174.0
Delivery Man,2013-11,Comedy,PG-13,30659817.0,31787136.0
Saving Mr. Banks,2013-12,Drama,PG-13,83299761.0,86249969.0
Need for Speed,2014-03,Action,PG-13,43568507.0,44955015.0
Muppets Most Wanted,2014-03,Comedy,PG,51178893.0,52807594.0
Captain America: The Winter Soldier,2014-04,Action,PG-13,259746958.0,268013076.0
Bears,2014-04,Documentary,G,17780194.0,18346024.0
Million Dollar Arm,2014-05,Drama,PG,36447959.0,37607865.0
Maleficent,2014-05,Adventure,PG,241407328.0,249089809.0
Planes: Fire and Rescue,2014-07,Adventure,PG,59157732.0,61040349.0
Guardians of the Galaxy,2014-08,Adventure,PG-13,333172112.0,343771168.0
The Hundred-Foot Journey,2014-08,Romantic Comedy,PG,54235441.0,55961409.0
"Alexander and the Terrible, Horrible,…",2014-10,Comedy,PG,66954149.0,69055550.0
Big Hero 6,2014-11,Adventure,PG,222527828.0,229249222.0
Into the Woods,2014-12,Musical,PG,128002372.0,130894237.0
Strange Magic,2015-01,Adventure,PG,12429583.0,12429583.0
"McFarland, USA",2015-02,Drama,PG,44480275.0,44480275.0
Cinderella (b),2015-03,Drama,PG,201151353.0,201151353.0
Monkey Kingdom,2015-04,Documentary,G,16432322.0,16432322.0
Avengers: Age of Ultron,2015-05,Action,PG-13,459005868.0,459005868.0
Tomorrowland,2015-05,Adventure,PG,93436322.0,93436322.0
Inside Out,2015-06,Adventure,PG,356461711.0,356461711.0
Ant-Man,2015-07,Action,PG-13,180202163.0,180202163.0
Bridge of Spies,2015-10,Thriller/Suspense,PG-13,72313754.0,72313754.0
The Good Dinosaur,2015-11,Adventure,PG,123087120.0,123087120.0
Star Wars Ep. VII: The Force Awakens,2015-12,Adventure,PG-13,936662225.0,936662225.0
The Finest Hours,2016-01,Thriller/Suspense,PG,27569558.0,27569558.0
Zootopia,2016-03,Adventure,PG,341268248.0,341268248.0
The Jungle Book (c),2016-04,Adventure,PG,364001123.0,364001123.0
A Beautiful Planet,2016-04,Documentary,G,7895708.0,7895708.0
Captain America: Civil War,2016-05,Action,PG-13,408084349.0,408084349.0
Alice Through the Looking Glass,2016-05,Adventure,PG,77042381.0,77042381.0
Finding Dory,2016-06,Adventure,PG,486295561.0,486295561.0
The BFG,2016-07,Adventure,PG,55483770.0,55483770.0
Pete’s Dragon,2016-08,Adventure,PG,76233151.0,76233151.0
The Light Between Oceans,2016-09,Drama,PG-13,12545979.0,12545979.0
Queen of Katwe,2016-09,Drama,PG,8874389.0,8874389.0
Doctor Strange,2016-11,Adventure,PG-13,232532923.0,232532923.0
Moana,2016-11,Adventure,PG,246082029.0,246082029.0
Rogue One: A Star Wars Story,2016-12,Adventure,PG-13,529483936.0,529483936.0
